"filename", "language", "TypeScript", "JSON with Comments", "JSON", "JavaScript", "Markdown", "XML", "TypeScript React", "CSS", "HTML", "Log", "comment", "blank", "total"
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\README.md", "Markdown", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 21, 47
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\debug.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 1, 13
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\package-lock.json", "JSON", 0, 0, 21969, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21970
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\package.json", "JSON", 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 1, 73
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\postcss.config.js", "JavaScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 24, 1, 44
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\public\manifest.json", "JSON", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\App.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 138, 0, 0, 0, 30, 29, 197
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\assets\main.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 277819, 0, 0, 211, 77444, 355474
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\assets\tailwind.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 17, 70
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\components\AuthRoutes\AuthNotification.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 6, 31
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\components\AuthRoutes\AuthOuterComponent.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 1, 12, 90
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\components\AuthRoutes\ForgottenPassChange.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 175, 0, 0, 0, 4, 31, 210
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\components\AuthRoutes\LogRegProfile_input.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 5, 72
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\components\AuthRoutes\LoginRegister.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 354, 0, 0, 0, 8, 51, 413
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\components\AuthRoutes\PasswordForgotten.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 123, 0, 0, 0, 0, 22, 145
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\components\AuthRoutes\PrivateRoute.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 5, 18
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\components\AuthRoutes\PublicRoute.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 5, 18
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\components\AuthRoutes\UserProfile.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 398, 0, 0, 0, 6, 58, 462
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\components\Colors\ColorsToChoose_Background.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 1, 20, 111
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\components\Colors\ColorsToChoose_DefaultAndColumns.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 276, 0, 0, 0, 3, 23, 302
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\components\Colors\ColorsToChoose_Tab.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 102, 0, 0, 0, 1, 21, 124
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\components\Colors\SingleColor_Background.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 18, 101
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\components\Colors\SingleColor_DefaultAndColumn.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 187, 0, 0, 0, 3, 25, 215
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\components\Colors\SingleColor_Tab.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 16, 84
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\components\LowerUI\Bookmark_lowerUI.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 374, 0, 0, 0, 22, 74, 470
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\components\LowerUI\Bookmark_lowerUI_edit.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 229, 0, 0, 0, 1, 16, 246
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\components\LowerUI\Bookmark_lowerUI_new.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 204, 0, 0, 0, 1, 20, 225
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\components\LowerUI\Column.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 235, 0, 0, 0, 4, 30, 269
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\components\LowerUI\EditTab_RSS.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 210, 0, 0, 0, 2, 17, 229
